,city,country,coord,id,lng,lat,currentDate,currentTemp,currentHumidity,currentClouds,currentWind
0,hithadhoo,mv,"{'lon': 73.083328, 'lat': -0.6000000000000001}",1282256,73.08,-0.6,1523724954,84.89,100,32,5.23
1,barrow,us,"{'lon': -156.788727, 'lat': 71.290581}",5880054,-156.79,71.29,1523721180,-7.61,91,90,6.93
2,saskylakh,ru,"{'lon': 114.083328, 'lat': 71.916672}",2017155,114.08,71.92,1523724955,15.41,84,92,17.09
3,ondjiva,ao,"{'lon': 15.73333, 'lat': -17.066669}",3346821,15.73,-17.07,1523724955,73.19,77,44,3.89
4,arraial do cabo,br,"{'lon': -42.027779, 'lat': -22.96611}",3471451,-42.03,-22.97,1523725200,82.4,78,75,9.17
5,kununurra,au,"{'lon': 128.733337, 'lat': -15.76667}",2068110,128.73,-15.77,1523723400,78.8,88,36,6.35
6,punta arenas,cl,"{'lon': -70.916672, 'lat': -53.150002}",3874787,-70.92,-53.15,1523721600,53.73,66,0,4.7
7,yellowknife,ca,"{'lon': -114.352547, 'lat': 62.456001}",6185377,-114.35,62.46,1523721600,32.0,100,20,8.05
8,bredasdorp,za,"{'lon': 20.04031, 'lat': -34.53215}",1015776,20.04,-34.53,1523721600,66.2,68,20,9.17
9,nhulunbuy,au,"{'lon': 136.766663, 'lat': -12.23333}",2064735,136.77,-12.23,1523723400,78.8,88,0,4.7
10,tasiilaq,gl,"{'lon': -37.636761, 'lat': 65.61451}",3424607,-37.64,65.61,1523721000,32.0,99,90,24.16
11,ushuaia,ar,"{'lon': -68.300003, 'lat': -54.799999}",3833367,-68.3,-54.8,1523721600,49.8,62,0,12.91
12,rikitea,pf,"{'lon': -134.969177, 'lat': -23.120279}",4030556,-134.97,-23.12,1523724960,79.4,100,92,16.98
13,cape town,za,"{'lon': 18.42322, 'lat': -33.925838}",3369157,18.42,-33.93,1523721600,64.4,68,20,24.16
14,hami,cn,"{'lon': 93.449997, 'lat': 42.799999}",1529484,93.45,42.8,1523724961,40.61,42,0,2.21
15,mastic beach,us,"{'lon': -72.852051, 'lat': 40.766769}",5126209,-72.85,40.77,1523722500,62.62,72,1,8.05
16,vaitupu,wf,"{'lon': -176.1917035, 'lat': -13.2308863}",0,-176.19,-13.23,1523724962,80.84,100,68,17.38
17,port alfred,za,"{'lon': 26.891041, 'lat': -33.590569}",964432,26.89,-33.59,1523724962,70.13,90,88,8.03
18,barentsburg,sj,"{'lon': 14.2334597, 'lat': 78.0648475}",0,14.23,78.06,1523722800,30.2,63,75,17.22
19,hermanus,za,"{'lon': 19.234461, 'lat': -34.418701}",3366880,19.23,-34.42,1523724963,62.75,74,0,6.08
20,atuona,pf,"{'lon': -139.033325, 'lat': -9.8}",4020109,-139.03,-9.8,1523724964,81.65,100,92,20.33
21,busselton,au,"{'lon': 115.370796, 'lat': -33.684769}",7839477,115.37,-33.68,1523724964,58.34,100,0,8.43
23,carnarvon,au,"{'lon': 113.633331, 'lat': -24.866671}",2074865,113.63,-24.87,1523724965,76.34,88,20,16.2
24,wagar,sd,"{'lon': 36.203201, 'lat': 16.1525}",364027,36.2,16.15,1523724966,86.15,11,0,16.82
25,lompoc,us,"{'lon': -120.457939, 'lat': 34.639149}",5367788,-120.46,34.64,1523723700,60.28,51,1,3.85
27,ponta do sol,cv,"{'lon': -25.091921, 'lat': 17.199421}",3374346,-25.09,17.2,1523724967,69.68,100,24,19.17
28,jamestown,sh,"{'lon': -5.71675, 'lat': -15.93872}",3370903,-5.72,-15.94,1523724711,75.17,100,68,15.82
29,isangel,vu,"{'lon': 169.266663, 'lat': -19.549999}",2136825,169.27,-19.55,1523724968,79.22,100,92,17.6
30,dikson,ru,"{'lon': 80.546387, 'lat': 73.506943}",1507390,80.55,73.51,1523724969,10.82,84,44,4.0
31,mikkeli,fi,"{'lon': 27.25, 'lat': 61.666672}",646006,27.25,61.67,1523722800,53.6,32,0,3.36
34,caravelas,br,"{'lon': -39.248138, 'lat': -17.712549}",3466980,-39.25,-17.71,1523724970,79.58,100,36,10.83
35,pisco,pe,"{'lon': -76.216667, 'lat': -13.7}",3932145,-76.22,-13.7,1523721600,71.6,83,0,8.05
36,kumbhraj,in,"{'lon': 77.050003, 'lat': 24.366671}",1265670,77.05,24.37,1523724971,68.6,80,88,4.74
37,gao,ml,"{'lon': -0.04472, 'lat': 16.271669}",2457163,-0.04,16.27,1523724972,95.24,15,0,8.25
38,seymchan,ru,"{'lon': 152.433334, 'lat': 62.883331}",2121373,152.43,62.88,1523724972,-0.44,63,48,2.39
39,hilo,us,"{'lon': -155.089996, 'lat': 19.729719}",5855927,-155.09,19.73,1523723580,66.2,100,90,6.93
40,east london,za,"{'lon': 27.911619, 'lat': -33.015289}",1006984,27.91,-33.02,1523721600,68.0,88,75,2.24
41,nikolskoye,ru,"{'lon': 166.0015368, 'lat': 55.1981604}",0,166.0,55.2,1523724973,32.51,100,92,31.52
42,yarega,ru,"{'lon': 53.5765, 'lat': 63.435429}",468991,53.58,63.44,1523724974,36.92,71,68,10.11
43,turangi,nz,"{'lon': 175.933334, 'lat': -39}",2180737,175.93,-39.0,1523724974,46.19,100,92,3.0
44,talara,pe,"{'lon': -81.271942, 'lat': -4.5772200000000005}",3691582,-81.27,-4.58,1523721600,87.8,48,0,8.05
45,sinnamary,gf,"{'lon': -52.958599, 'lat': 5.3775}",6690707,-52.96,5.38,1523724975,78.77,100,64,10.33
47,san luis,ar,"{'lon': -66.335632, 'lat': -33.29501}",3837056,-66.34,-33.3,1523724976,75.44,41,0,11.56
48,ngorongoro,tz,"{'lon': 35.487469, 'lat': -3.23973}",151610,35.49,-3.24,1523724976,61.67,88,64,2.28
49,zhigansk,ru,"{'lon': 123.371109, 'lat': 66.769722}",2012530,123.37,66.77,1523724977,29.45,85,76,10.16
50,bull savanna,jm,"{'lon': -77.590218, 'lat': 17.88678}",3491161,-77.59,17.89,1523724977,83.18,56,44,10.33
51,cerrito,py,"{'lon': -57.666672, 'lat': -27.316669}",3439133,-57.67,-27.32,1523724978,81.47,80,0,11.45
52,ancud,cl,"{'lon': -73.820282, 'lat': -41.86972}",3899695,-73.82,-41.87,1523724979,58.25,79,64,7.87
53,dingle,ie,"{'lon': -10.26889, 'lat': 52.140831}",2964782,-10.27,52.14,1523724979,50.78,86,92,26.71
54,vaini,to,"{'lon': -175.199997, 'lat': -21.200001}",4032243,-175.2,-21.2,1523721600,73.4,69,40,20.4
55,vardo,no,"{'lon': 31.10866, 'lat': 70.370399}",6453313,31.11,70.37,1523724980,34.94,100,44,14.41
57,samusu,ws,"{'lon': -171.4299586, 'lat': -14.0056774}",0,-171.43,-14.01,1523721600,77.0,94,75,10.6
58,jining,cn,"{'lon': 116.58139, 'lat': 35.404999}",1805518,116.58,35.41,1523724981,43.67,55,0,7.92
60,sorland,no,"{'lon': 12.69343, 'lat': 67.666962}",3137469,12.69,67.67,1523724829,40.88,99,68,6.58
61,wufeng,cn,"{'lon': 104.833328, 'lat': 27.450001}",1784592,104.83,27.45,1523724982,42.23,89,92,3.06
64,dickson,us,"{'lon': -96.984459, 'lat': 34.187321}",4535089,-96.98,34.19,1523722500,46.71,33,40,10.29
66,pilao arcado,br,"{'lon': -42.4940104, 'lat': -10.0055868}",0,-42.49,-10.01,1523724983,86.06,65,8,8.81
67,praia,cv,"{'lon': -23.50868, 'lat': 14.92148}",3374333,-23.51,14.92,1523721600,77.0,53,20,25.28
68,asfi,ma,"{'lon': -9.2272033, 'lat': 32.3008151}",0,-9.23,32.3,1523724984,60.59,87,64,8.88
69,polunochnoye,ru,"{'lon': 60.415279, 'lat': 60.86972}",1494482,60.42,60.87,1523724984,40.79,69,92,15.37
70,brae,gb,"{'lon': -1.35296, 'lat': 60.396351}",2654970,-1.35,60.4,1523722800,46.15,87,92,4.7
71,puerto ayora,ec,"{'lon': -90.351761, 'lat': -0.73931}",3652764,-90.35,-0.74,1523721600,77.0,78,75,12.75
72,tumannyy,ru,"{'lon': 90.3269882, 'lat': 54.0873125}",0,90.33,54.09,1523724986,29.18,78,56,7.65
73,albany,au,"{'lon': 118.123451, 'lat': -34.7099}",7839657,118.12,-34.71,1523724987,54.29,96,76,3.74
75,nha trang,vn,"{'lon': 109.183327, 'lat': 12.25}",1572151,109.18,12.25,1523724987,77.51,100,92,0.98
76,edson,ca,"{'lon': -116.435593, 'lat': 53.58345}",5946820,-116.44,53.58,1523721600,41.0,60,1,3.36
77,kavaratti,in,"{'lon': 72.642029, 'lat': 10.56688}",1267390,72.64,10.57,1523724988,86.87,100,0,2.77
